RANK,EXPERT NAME,QB,RB,WR,TE,K,DST,IDP
1,Justin Boone - Yahoo,6,5,1,18,11,28,
2,Patrick Thorman - Establish the Run,8,2,2,30,7,53,
3,Jamie Calandro - RotoBaller,1,25,7,19,,,
4,Christopher Gimino - RotoGrinders,23,18,8,1,32,20,
5,Jeff Ratcliffe - FTN,3,16,12,23,29,32,
6,Dalton Del Don - The Deep Shot,9,12,13,10,31,30,
7,Kevin Hanson - EDSFootball,13,13,4,31,25,19,
8,Rob Waziak - Fantasy Life,19,6,17,24,28,22,
9,Tyler Orginski - FTN,15,27,9,9,,,
10,Nick Zylak - Fantasy Football Advice,22,11,22,15,70,15,
11,Joe Bond - Fantasy Six Pack,4,23,21,20,21,8,
12,Nick Spencer - Fantasy Six Pack,11,32,5,36,14,12,
13,Mike Maher - BettingPros,29,4,29,14,,,
14,Sean Koerner - The Action Network,7,7,27,44,20,23,
15,Jared Smola - Draft Sharks,24,10,24,16,1,27,
16,Nathan Jahnke - Pro Football Focus,18,17,19,43,24,35,7
17,Chris Kennedy - Dr. Roto,28,35,14,13,41,10,
18,Matthew Freedman - Fantasy Life,16,33,18,25,22,26,
19,Jody Smith - Draft Sharks,39,15,15,22,15,,
20,Kev Wheeler - Wheel Route FF,14,24,34,21,57,42,
21,Ben Wasley - Hashtag Football,21,28,23,45,27,21,
22,Chet Gresham - SB Nation,27,62,10,8,46,66,
23,Tim Jablonski - The Hateful 8,32,37,26,11,53,24,
24,James Emrick-Wilson - Armchair Scouting,12,39,48,5,34,18,
25,Dennis Sosic - Fantasy Six Pack,49,19,30,4,30,58,9
26,Ted Chmyz - Fantasy Football Blueprint,63,64,3,2,2,1,
27,Nick Mariano - RotoBaller,2,20,60,58,38,9,
28,Joe Pepe - Beyond the Gridiron,10,94,11,6,,,
29,Chris Raybon - The Action Network,25,3,64,57,,11,
30,Elisha Twerski - USA Today,52,40,16,29,42,57,
31,Pat Fitzmaurice - FantasyPros,42,45,20,47,35,37,
32,Justin Jaksa - ProFootballIntel,20,41,52,34,5,17,
33,Kyle Krajewski - First Seed Sports,5,21,72,50,79,3,
34,Mick Ciallela - Fantrax,75,14,41,12,3,2,
35,Frank Ammirante - OTC Fantasy,88,9,47,3,,,
36,Tommy Garrett - SharpLinkHQ,56,66,6,35,33,25,
37,Zach Brunner - FlurrySports,53,43,36,38,12,4,4
38,Scott Smith - RotoViz,33,59,54,32,,,
39,Marc Shannep - Fantasy Knockout,35,48,61,33,,7,
40,Bill Enright - Sports Illustrated,69,26,46,49,,,
41,Lee Wehry - FantasyPros,71,38,49,28,77,31,
42,Justin Sablich - 5th Down Fantasy,48,55,39,55,37,16,
43,Andrew Erickson - FantasyPros,66,50,53,17,,,
44,David Biggs - Drink Five,30,89,38,27,23,44,
45,Derek Brown - FantasyPros,43,31,71,41,,,
46,Andrew Scott - Fantasy In Frames,38,80,28,65,16,36,
47,Alex Korff - Draft Sharks,51,30,70,46,13,39,
48,Fantasy BR - Staff Rankings,31,29,84,63,,,13
49,Clayton Cadieux - Fantasy Football From Up North,26,34,81,78,,,
50,Richard Savill - Fantasy Six Pack,17,84,43,88,,,
51,Derek Dennington - The Good Old Boys,74,49,37,53,,,
52,Bart Wheeler - Hail to Fantasy Football,118,1,50,76,4,48,
53,Bradley Stalder - Player Profiler,107,8,56,81,,,
54,Dakota Legg - BetLegg,46,54,63,62,19,38,
55,Jeremy Popielarz  - FTN,50,75,66,26,,,
56,Jacob Gibbs - SportsLine,78,68,69,7,,,
57,Ryan Noonan - 4for4,83,47,32,109,,,8
58,David Heilman - Dynasty Trade Calculator,89,53,31,92,,,
59,Matthew Hill - DataForce Fantasy Football,94,42,45,89,,,
60,Francisco (Chato) Romero - Estadio Fantasy,65,93,42,37,71,41,
61,Justin Lampkin - Clock Management FF,59,61,40,110,,,
62,Jacob Piccolo - TrueRGM,40,73,73,56,74,,
63,Kevin English - Draft Sharks,62,67,51,83,85,68,
64,Wyatt Bertolone - Player Profiler,70,70,62,52,,,
65,Matt De Lima - Dr. Roto,47,46,96,69,17,,5
66,Wolf of Roto Street - Roto Street Journal,37,114,35,91,49,63,
67,Chris Dell - The Fantasy Edge,57,76,82,40,78,82,
68,Joey Wright - Footballguys,114,86,25,59,,,
69,Aaron St Denis - Fantasy Sports Advice Network,36,87,91,75,9,6,6
70,Dan Larocca - Rotoballer,87,72,85,39,43,14,
71,Andy Behrens - The Deep Shot,102,52,58,106,64,72,
72,Dylan Licciardo - FF Gamers,82,51,76,108,,,
73,Shane Hallam - Draft Sharks,72,77,86,72,65,46,11
74,Daniel Mader - Fantasy Football Advice Network,97,58,79,71,8,29,
75,Scott Pianowski - Yahoo,79,101,57,70,55,77,
76,Matt Harmon - Yahoo,41,110,55,124,69,88,
77,Matthew Korn - DFS Dashboard,44,108,67,103,,54,
78,Michael Bobal - The 33rd Team,129,78,33,68,,,
79,Mauricio Gutierrez - Estadio Fantasy,76,56,103,79,84,43,
80,Joe Beldner - The Fantasy Footballers,137,44,59,73,,,
81,John Hesterman - Dynasty League Football,77,83,78,98,,,
82,Matt Schauf - Draft Sharks,100,57,100,48,44,56,14
83,Kelly Kirby - FantasyPros,106,22,113,64,76,33,
84,Brandon Murchison - RotoBaller,64,97,75,104,6,52,
85,Tera Roberts - FantasyPros,67,91,68,123,67,75,
86,Kev Mahserejian - Razzball,80,127,44,87,10,61,
87,Drew DeLuca - QB List,98,74,102,54,26,55,
88,Rich Piazza - Fantasy Shed,115,71,90,80,,,
89,Brad Beatson - Bandit Football,45,115,106,93,,,
90,Dave Kluge - Footballguys,84,98,95,96,,,
91,Chris Welsh - FantasyPros,133,90,65,66,,,
92,Jesse Moeller - Fantasy Football Universe,111,100,94,61,,,
93,Kevin Steele - The Fantasy Authority,54,85,119,119,59,81,
94,Tom Strachan - NFL Best Ball,96,69,115,111,,,
95,C.H. Herms - FTN,73,119,77,129,,,
96,Jeremy Shulman - Fantasy Football Universe,104,63,80,154,68,70,
97,Ellis Johnson - FantasyPros,34,139,89,126,,,
98,Pete Nova - FF Faceoff,120,99,87,113,,59,
99,Jaime Eisner - The Draft Network,131,81,107,84,82,60,
100,Site Rankings - The FF Ghost,127,111,83,95,52,40,10
101,Trevor Land - FlurrySports,95,128,99,101,45,67,
102,Adrian Alpanseque - Estadio Fantasy,112,65,123,121,,,
103,Elliot Berkovits - Packer Report,60,121,109,130,,,
104,Coach Craig Sports - True North Fantasy Football,117,92,110,105,56,78,
105,Dan Yanotchko - EDSFootball,81,113,122,94,18,69,
106,Adam Murfet - 5 Yard Rush,105,104,97,128,,34,16
107,Steve DeAngelo - FF Faceoff,108,124,104,86,,,
108,Ryan Weisse - Club Fantasy FFL,103,36,135,134,54,62,
109,Nate Marcum - Fantasy In Frames,110,132,101,67,,,
110,Todd D Clark - The Fantasy Fix,124,107,111,82,,,
111,Steven Pintado - QB List,93,106,117,118,,,
112,Michael Tomlin - Fantasy Six Pack,68,130,98,143,,,
113,Steve Falco - Front Office Pros,145,60,116,100,,,
114,Jeff Bell - Footballguys,125,102,92,139,48,71,
115,Adam Dove - The Fantasy Couriers,141,116,74,122,,,
116,Scott Engel - RotoBaller,121,131,118,42,47,73,
117,Andrew Leduc - That Sports Podcast Network,113,82,126,142,,,
118,Justin Fuhr - Pro Football Mania,109,105,120,127,,,
119,Matthew Mutchler - Fantasy Sports Advice Network,91,118,93,159,63,83,
120,MasterIDP - RPO Football,86,122,130,115,51,47,1
121,Mike Fanelli - FantasyPros,99,146,114,77,,,
122,Benjamin Klotz - Touchdown Squad,58,117,144,60,,,
123,Kyle Cunningham-Rhoads - The Analyst,61,109,146,74,75,5,
124,Kyle Senra - Going For 2,143,88,121,114,39,45,
125,Nathan Polvogt - Optimus Fantasy Football,90,133,125,133,61,76,
126,Joe Pisapia - FantasyPros,132,136,105,107,,,
127,Scott Gerhardt - The Sports Affiliation,139,141,88,112,58,90,
128,Guilherme Gianni - Fantasy Futebolista,146,112,129,51,60,49,
129,Scott Bogman - FantasyPros,92,145,137,85,,,12
130,Aaron Larson - FantasyPros,150,95,108,97,,,
131,Nic Bodiford - NerdBall Fantasy Football,119,142,124,125,,,
132,Brian Hartman - QB List,148,79,128,132,81,87,
133,Freeman Smith - FAAB Lab,134,125,142,99,,,
134,Ed Birdsall - Talking Points Sports,123,147,127,116,,,
135,Mike Harmon - Swollen Dome,126,123,131,148,,,
136,Joe Sheffield - Front Office Pros,116,137,141,117,,,
137,Jeff Paur - RTSports,122,126,138,141,40,79,
138,Jorge B. Edwards - Fantasy In Frames,138,144,136,102,,,15
139,Lou Brunson - Optimus Fantasy Football,128,138,140,144,,,
140,Kyle Soppe - Pro Football Network,147,96,143,140,73,89,
141,Eric Romoff - QB List,101,148,133,158,88,50,
142,Jeff Boggis - Fantasy Football Empire,135,156,132,90,50,13,18
143,Tal Malachovsky - The Fantasy Scout,136,120,145,145,36,85,
144,Joe Serpico - Pressbox,149,140,134,131,,,
145,Community Consensus - r/fantasyfootball,142,158,112,137,,,
146,Jay Felicio - QB List,85,153,150,149,,74,
147,Site Rankings - Gridiron Experts,140,135,151,138,,,
148,Smitty - TheFantasyFootballShow,130,154,148,136,86,64,
149,Justin Herrera - TSS Fantasy,151,103,155,151,,84,
150,Michael Hauff - FF Faceoff,153,150,152,120,80,,
151,Joe Orrico - No Expert Fantasy Football,156,129,153,150,,,
152,Gary Davenport - Footballguys,154,143,154,146,83,80,
153,Tim Heaney - Sporting News,144,157,159,157,89,91,
154,Mark Ringo - Sleepers and Busts,152,159,149,160,72,,
155,Raju Byfield - WinMyFantasyLeague,157,149,158,155,,,17
156,Joshua Kimmel - FantasyNow+,158,152,157,153,,,
157,Jacob Hubman - The Fantasy Headliners,155,155,156,156,66,65,
158,Michelle Magdziuk - BallBlast Podcast,159,151,160,152,,,
,Jacob Dunne - Fantrax,55,,139,147,87,51,
,Muntradamus - Beast Dome,,134,147,135,,,
,Ryan Sitzmann - The IDP Guru,,,,,,,2
,Steve Hungarter - Fantasy Six Pack,,,,,,,3
,Mike MacGregor - Draft Buddy,,,,,62,86,
