RK,Player,G,PASSING COMP,PASSING ATT,PASSING PCT,PASSING YDS,PASSING Y/A,PASSING AIR,PASSING AIR/A,DEEP BALL PASSING 10+ YDS,DEEP BALL PASSING 20+ YDS,DEEP BALL PASSING 30+ YDS,DEEP BALL PASSING 40+ YDS,DEEP BALL PASSING 50+ YDS,PRESSURE PKT TIME,PRESSURE SACK,PRESSURE KNCK,PRESSURE HRRY,PRESSURE BLITZ,MISC POOR,MISC DROP,MISC RZ ATT,MISC RTG
1,Josh Allen   BUF,17,319,460,69.0%,3668,8.0,1972,4.3,141,56,20,10,4,2.5,40,29,30,128,58,18,61,95
2,Drake Maye   NE,17,354,492,72.0%,4394,8.9,2804,5.7,178,67,25,6,5,2.4,47,42,43,158,65,13,72,115
3,Matthew Stafford   LAR,17,388,597,65.0%,4707,7.9,2971,5.0,184,72,27,8,4,2.4,23,52,42,159,106,28,104,108
4,Trevor Lawrence   JAC,17,341,560,61.0%,4007,7.1,2561,4.6,167,57,17,6,2,2.4,41,40,59,158,78,45,81,91
5,Dak Prescott   DAL,17,404,600,67.0%,4552,7.6,2814,4.7,183,53,27,12,3,2.4,31,56,55,163,72,25,99,100
6,Caleb Williams   CHI,17,330,568,58.0%,3942,6.9,2363,4.2,173,58,18,7,3,2.5,24,41,94,174,110,28,72,90
7,Bo Nix   DEN,17,388,612,63.0%,3931,6.4,2200,3.6,154,47,18,7,1,2.4,22,45,61,115,93,43,80,88
8,Jared Goff   DET,17,393,578,68.0%,4564,7.9,2438,4.2,185,66,21,8,2,2.3,38,76,39,152,82,25,86,106
8,Jalen Hurts   PHI,16,294,454,65.0%,3224,7.1,2134,4.7,117,40,19,9,3,2.5,32,25,48,162,72,11,49,100
10,Justin Herbert   LAC,16,340,512,66.0%,3727,7.3,2274,4.4,144,43,19,8,6,2.4,54,74,55,158,75,25,77,94
11,Patrick Mahomes II   KC,14,315,502,63.0%,3587,7.1,1977,3.9,146,49,21,8,1,2.2,34,69,39,96,85,27,76,90
12,Baker Mayfield   TB,17,343,543,63.0%,3693,6.8,2129,3.9,146,54,16,7,4,2.3,36,20,36,146,82,20,56,90
