Rank,Player,Games,Boom,Top 6,Top 12,Bust,Other
1,Josh Allen   BUF,16,25%,38%,69%,19%,13%
2,Drake Maye   NE,16,6%,31%,63%,6%,31%
3,Matthew Stafford   LAR,16,19%,38%,56%,31%,13%
4,Trevor Lawrence   JAC,16,13%,25%,50%,25%,25%
5,Dak Prescott   DAL,16,19%,25%,63%,25%,13%
6,Caleb Williams   CHI,16,13%,25%,50%,31%,19%
7,Bo Nix   DEN,16,13%,25%,44%,31%,25%
8,Jalen Hurts   PHI,16,13%,31%,50%,31%,19%
9,Justin Herbert   LAC,16,25%,31%,31%,38%,31%
10,Patrick Mahomes II   KC,14,21%,50%,57%,36%,7%
11,Jared Goff   DET,16,6%,25%,38%,38%,25%
12,Baker Mayfield   TB,16,0%,6%,44%,38%,19%
13,Jordan Love   GB,15,7%,20%,33%,40%,27%
14,Sam Darnold   SEA,16,13%,13%,31%,44%,25%
15,Daniel Jones   IND,13,8%,8%,38%,15%,46%
16,Jaxson Dart   NYG,13,8%,31%,54%,31%,15%
17,Jacoby Brissett   ARI,13,0%,15%,54%,23%,23%
18,Aaron Rodgers   PIT,15,0%,13%,20%,53%,27%
19,Bryce Young   CAR,15,7%,7%,27%,60%,13%
20,Lamar Jackson   BAL,12,8%,33%,42%,42%,17%
21,C.J. Stroud   HOU,13,8%,8%,23%,54%,23%
22,Geno Smith   LV,15,0%,13%,13%,73%,13%
23,Cam Ward   TEN,16,0%,6%,6%,75%,19%
24,Brock Purdy   SF,8,25%,38%,50%,13%,38%
25,Tua Tagovailoa   MIA,14,0%,7%,21%,64%,14%
26,Joe Flacco   CIN,12,8%,25%,25%,67%,8%
27,Justin Fields   NYJ,9,11%,33%,44%,44%,11%
28,Tyler Shough   NO,10,0%,0%,20%,40%,40%
29,Mac Jones   SF,11,0%,9%,27%,55%,18%
30,Marcus Mariota   WAS,12,0%,8%,17%,58%,25%
31,J.J. McCarthy   MIN,9,0%,11%,44%,44%,11%
32,Michael Penix Jr.   ATL,9,0%,11%,33%,67%,0%
33,Joe Burrow   CIN,7,14%,29%,43%,43%,14%
34,Jayden Daniels   WAS,7,0%,0%,43%,14%,43%
35,Spencer Rattler   NO,9,0%,0%,11%,78%,11%
36,Kirk Cousins   ATL,9,0%,11%,11%,67%,22%
37,Shedeur Sanders   CLE,7,14%,14%,14%,86%,0%
38,Kyler Murray   ARI,5,0%,0%,0%,20%,80%
39,Carson Wentz   MIN,5,0%,0%,20%,60%,20%
40,Dillon Gabriel   CLE,10,0%,0%,10%,80%,10%
41,Davis Mills   HOU,5,20%,20%,20%,60%,20%
42,Tyrod Taylor   NYJ,6,0%,0%,17%,67%,17%
43,Jake Browning   CIN,5,0%,0%,40%,60%,0%
44,Russell Wilson   NYG,6,17%,17%,17%,83%,0%
45,Malik Willis   GB,4,25%,25%,25%,75%,0%
46,Jameis Winston   NYG,3,33%,33%,33%,67%,0%
47,Tyler Huntley   BAL,5,0%,0%,0%,80%,20%
48,Philip Rivers   IND,3,0%,0%,0%,67%,33%
49,Brady Cook   NYJ,4,0%,0%,0%,100%,0%
50,Quinn Ewers   MIA,3,0%,0%,0%,100%,0%
51,Mason Rudolph   PIT,5,0%,0%,0%,100%,0%
52,Chris Oladokun   KC,2,0%,0%,0%,100%,0%
53,Andy Dalton   CAR,4,0%,0%,0%,100%,0%
54,Riley Leonard   IND,4,0%,0%,0%,100%,0%
55,Kenny Pickett   LV,5,0%,0%,0%,100%,0%
56,Josh Johnson   WAS,4,0%,0%,0%,100%,0%
57,Max Brosmer   MIN,6,0%,0%,0%,100%,0%
58,Joe Milton III   DAL,3,0%,0%,0%,100%,0%
59,Cooper Rush   BAL,4,0%,0%,0%,100%,0%
60,Trey Lance   LAC,3,0%,0%,0%,100%,0%
61,Teddy Bridgewater   TB,4,0%,0%,0%,100%,0%
62,Tyson Bagent   CHI,3,0%,0%,0%,100%,0%
63,Mitchell Trubisky   BUF,3,0%,0%,0%,100%,0%
64,Tanner McKee   PHI,3,0%,0%,0%,100%,0%
65,Zach Wilson   MIA,3,0%,0%,0%,100%,0%
66,Joshua Dobbs   NE,3,0%,0%,0%,100%,0%
67,Anthony Richardson Sr.   IND,2,0%,0%,0%,100%,0%
68,Gardner Minshew II   KC,4,0%,0%,0%,100%,0%
69,Feleipe Franks   ATL,11,0%,0%,0%,100%,0%
70,Malik Cunningham   DET,1,0%,0%,0%,100%,0%
71,Drew Lock   SEA,5,0%,0%,0%,100%,0%
72,Logan Woodside   ARI,3,0%,0%,0%,100%,0%
73,Brett Rypien   MIN,1,0%,0%,0%,100%,0%
74,Stetson Bennett IV   LAR,1,0%,0%,0%,100%,0%
75,Will Grier   DAL,1,0%,0%,0%,100%,0%
76,Kedon Slovis   ARI,2,0%,0%,0%,100%,0%
77,Jarrett Stidham   DEN,1,0%,0%,0%,100%,0%
78,Adrian Martinez   SF,1,0%,0%,0%,100%,0%
79,Kyle Allen   DET,4,0%,0%,0%,100%,0%
80,Nick Mullens   JAC,4,0%,0%,0%,100%,0%
81,Clayton Tune   GB,1,0%,0%,0%,100%,0%
82,Jimmy Garoppolo   LAR,4,0%,0%,0%,100%,0%
83,Jalen Milroe   SEA,4,0%,0%,0%,100%,0%
