RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,Josh Allen   BUF,QB,17,38.8,11.8,23.0,25.9,20.4,17.4,BYE,23.2,28.8,20.3,44.7,10.1,17.7,37.8,24.5,6.9,23.2,0.0,22.0,374.6
2,Drake Maye   NE,QB,17,15.8,26.3,20.2,23.2,12.1,27.2,23.1,27.3,17.4,19.1,15.4,17.0,20.5,BYE,21.5,24.7,32.4,15.7,21.1,359.0
3,Matthew Stafford   LAR,QB,17,13.6,18.3,14.8,27.4,25.6,9.3,27.4,BYE,26.8,26.9,13.2,22.9,13.6,23.2,21.9,30.9,15.8,26.7,21.1,358.4
4,Trevor Lawrence   JAC,QB,17,11.3,21.2,8.8,11.7,27.2,19.2,17.6,BYE,22.2,10.8,16.0,20.1,21.7,19.4,44.3,31.2,24.1,23.3,20.6,350.2
5,Dak Prescott   DAL,QB,17,7.8,23.1,14.0,31.0,28.3,22.3,23.3,8.6,16.4,BYE,24.3,28.1,21.6,20.4,12.0,19.2,22.7,0.7,19.0,323.8
6,Caleb Williams   CHI,QB,17,24.2,18.0,29.1,12.8,BYE,19.9,5.7,12.8,36.7,25.1,10.3,21.7,10.5,15.9,19.0,21.0,23.0,17.6,19.0,323.2
7,Jonathan Taylor   IND,RB,17,9.8,27.5,29.8,9.6,28.6,19.7,31.2,35.4,5.7,46.6,BYE,6.6,12.1,11.4,10.1,13.9,14.4,3.9,18.6,316.3
8,Bo Nix   DEN,QB,17,8.8,21.2,13.4,26.7,17.9,13.4,40.0,24.8,19.5,7.8,12.6,BYE,17.4,16.0,29.1,16.2,20.5,10.5,18.6,315.8
9,Christian McCaffrey   SF,RB,17,14.2,16.7,14.0,20.1,19.9,17.1,32.1,6.8,29.3,9.6,30.1,20.2,13.4,BYE,14.7,26.6,24.1,5.7,18.5,314.6
10,Jared Goff   DET,QB,17,11.9,34.0,12.7,13.7,20.1,16.8,11.3,BYE,19.4,24.8,13.1,18.2,20.6,16.2,25.5,26.5,4.1,16.2,17.9,305.1
10,Jalen Hurts   PHI,QB,16,24.3,11.5,29.0,19.4,19.5,21.6,24.0,25.4,BYE,12.0,14.5,30.9,17.3,4.4,22.9,19.4,8.9,,19.1,305.1
12,Justin Herbert   LAC,QB,16,27.9,18.8,15.6,14.5,15.6,18.8,29.9,26.3,28.7,14.7,4.3,BYE,13.8,13.2,11.4,30.2,16.1,,18.7,299.9
13,Patrick Mahomes II   KC,QB,14,26.0,23.1,13.2,27.3,27.7,31.5,26.2,25.0,11.5,BYE,14.3,18.1,29.4,8.3,14.1,,,,21.1,295.7
14,Bijan Robinson   ATL,RB,17,18.4,16.8,11.1,24.1,BYE,29.8,15.2,2.8,9.6,8.8,26.3,12.7,25.3,7.4,21.5,22.8,34.9,4.3,17.2,291.8
15,Jahmyr Gibbs   DET,RB,17,5.0,16.4,21.9,15.7,14.7,6.5,33.8,BYE,2.8,35.2,14.6,44.4,8.6,30.0,5.8,12.8,4.4,17.3,17.1,289.9
16,Baker Mayfield   TB,QB,17,22.6,19.9,17.7,19.9,26.7,19.6,12.1,4.1,BYE,22.9,17.8,5.5,14.5,12.1,20.2,13.7,19.4,14.2,16.6,282.9
17,James Cook III   BUF,RB,17,16.2,25.5,17.8,19.5,4.9,8.7,BYE,33.6,12.5,5.7,17.4,18.9,15.7,9.1,29.1,25.4,7.7,1.5,15.8,269.2
18,Derrick Henry   BAL,RB,17,28.2,2.3,9.7,5.8,9.3,13.0,BYE,19.1,12.1,8.4,18.2,20.8,16.4,10.2,10.0,22.8,45.6,12.6,15.6,264.5
19,De'Von Achane   MIA,RB,16,13.5,18.2,9.1,16.1,10.6,27.0,9.8,15.1,10.6,34.5,16.5,BYE,19.4,16.5,12.7,15.0,11.2,,16.0,255.8
20,Sam Darnold   SEA,QB,17,5.4,17.8,16.7,16.1,28.6,20.0,9.6,BYE,28.2,5.9,8.3,17.7,3.1,23.3,11.3,21.5,7.1,8.8,14.7,249.4
21,Jaxson Dart   NYG,QB,14,,-0.3,0.3,19.8,17.6,23.6,29.4,19.4,27.2,26.3,,,13.6,BYE,23.1,1.0,25.1,20.4,17.6,246.6
